// SOUTH
(0.0,0.0,0.0),(0.0,1.0,0.0),(1.0,1.0,0.0)
(0.0,0.0,0.0),(1.0,1.0,0.0),(1.0,0.0,0.0)
// EAST
(1.0,0.0,0.0),(1.0,1.0,0.0),(1.0,1.0,1.0)
(1.0,0.0,0.0),(1.0,1.0,1.0),(1.0,0.0,1.0)
// NORTH
(1.0,0.0,1.0),(1.0,1.0,1.0),(0.0,1.0,1.0)
(1.0,0.0,1.0),(0.0,1.0,1.0),(0.0,0.0,1.0)
// WEST
(0.0,0.0,1.0),(0.0,1.0,1.0),(0.0,1.0,0.0)
(0.0,0.0,1.0),(0.0,1.0,0.0),(0.0,0.0,0.0)
// TOP
(0.0,1.0,0.0),(0.0,1.0,1.0),(1.0,1.0,1.0)
(0.0,1.0,0.0),(1.0,1.0,1.0),(1.0,1.0,0.0)
// BOTTOM
(1.0,0.0,1.0),(0.0,0.0,1.0),(0.0,0.0,0.0)
(1.0,0.0,1.0),(0.0,0.0,0.0),(1.0,0.0,0.0)
